야	ᄋ ᅣ
지났다고	ᄌ ᅵ ᄂ ᅡ ᆮ ᄄ ᅡ ᄀ ᅩ
소개팅을	ᄉ ᅩ ᄀ ᅢ ᄐ ᅵ ᆼ ᄋ ᅳ ᆯ
시대냐	ᄉ ᅵ ᄃ ᅢ ᄂ ᅣ
년상이라도	ᄂ ᅧ ᆫ ᄉ ᅡ ᆼ ᄋ ᅵ ᄅ ᅡ ᄃ ᅩ
치러야	ᄎ ᅵ ᄅ ᅥ ᄋ ᅣ
피차	ᄑ ᅵ ᄎ ᅡ
끝인	ᄁ ᅳ ᄉ ᅵ ᆫ
헤어졌다고	ᄒ ᅦ ᄋ ᅥ ᄌ ᅥ ᆮ ᄄ ᅡ ᄀ ᅩ
불고	ᄇ ᅮ ᆯ ᄀ ᅩ
선해서	ᄉ ᅥ ᆫ ᄒ ᅢ ᄉ ᅥ
사람으로	ᄉ ᅡ ᄅ ᅡ ᄆ ᅳ ᄅ ᅩ
잊는	ᄋ ᅵ ᆫ ᄂ ᅳ ᆫ
바람둥이가	ᄇ ᅡ ᄅ ᅡ ᆷ ᄃ ᅮ ᆼ ᄋ ᅵ ᄀ ᅡ
핑계도	ᄑ ᅵ ᆼ ᄀ ᅨ ᄃ ᅩ
가지가지다	ᄀ ᅡ ᄌ ᅵ ᄀ ᅡ ᄌ ᅵ ᄃ ᅡ
도중에	ᄃ ᅩ ᄌ ᅮ ᆼ ᄋ ᅦ
나가지나	ᄂ ᅡ ᄀ ᅡ ᄌ ᅵ ᄂ ᅡ
뵈도	ᄇ ᅬ ᄃ ᅩ
로맨티스트	ᄅ ᅩ ᄆ ᅢ ᆫ ᄐ ᅵ ᄉ ᅳ ᄐ ᅳ
죽었다	ᄌ ᅮ ᄀ ᅥ ᆮ ᄄ ᅡ
기다려라	ᄀ ᅵ ᄃ ᅡ ᄅ ᅧ ᄅ ᅡ
마셨길래	ᄆ ᅡ ᄉ ᅧ ᆮ ᄁ ᅵ ᆯ ᄅ ᅢ
아직까지	ᄋ ᅡ ᄌ ᅵ ᆨ ᄁ ᅡ ᄌ ᅵ
소개팅이	ᄉ ᅩ ᄀ ᅢ ᄐ ᅵ ᆼ ᄋ ᅵ
퍼마시지는	ᄑ ᅥ ᄆ ᅡ ᄉ ᅵ ᄌ ᅵ ᄂ ᅳ ᆫ
한탄	ᄒ ᅡ ᆫ ᄐ ᅡ ᆫ
거구만	ᄀ ᅥ ᄀ ᅮ ᄆ ᅡ ᆫ
소개팅한	ᄉ ᅩ ᄀ ᅢ ᄐ ᅵ ᆼ ᄒ ᅡ ᆫ
만남에서부터	ᄆ ᅡ ᆫ ᄂ ᅡ ᄆ ᅦ ᄉ ᅥ ᄇ ᅮ ᄐ ᅥ
퍼마셨다고	ᄑ ᅥ ᄆ ᅡ ᄉ ᅧ ᆮ ᄄ ᅡ ᄀ ᅩ
마셨지	ᄆ ᅡ ᄉ ᅧ ᆮ ᄍ ᅵ
꽐라	ᄁ ᅪ ᆯ ᄅ ᅡ
멀쩡한데	ᄆ ᅥ ᆯ ᄍ ᅥ ᆼ ᄒ ᅡ ᆫ ᄃ ᅦ
수치다	ᄉ ᅮ ᄎ ᅵ ᄃ ᅡ
동생이라고	ᄃ ᅩ ᆼ ᄉ ᅢ ᆼ ᄋ ᅵ ᄅ ᅡ ᄀ ᅩ
나왔냐	ᄂ ᅡ ᄋ ᅪ ᆫ ᄂ ᅣ
대학이	ᄃ ᅢ ᄒ ᅡ ᄀ ᅵ
기다린	ᄀ ᅵ ᄃ ᅡ ᄅ ᅵ ᆫ
비아냥거리지	ᄇ ᅵ ᄋ ᅡ ᄂ ᅣ ᆼ ᄀ ᅥ ᄅ ᅵ ᄌ ᅵ
나름대로	ᄂ ᅡ ᄅ ᅳ ᆷ ᄃ ᅢ ᄅ ᅩ
등급도	ᄃ ᅳ ᆼ ᄀ ᅳ ᆸ ᄄ ᅩ
올랐단	ᄋ ᅩ ᆯ ᄅ ᅡ ᆮ ᄄ ᅡ ᆫ
내신이	ᄂ ᅢ ᄉ ᅵ ᄂ ᅵ
수능으로	ᄉ ᅮ ᄂ ᅳ ᆼ ᄋ ᅳ ᄅ ᅩ
모의고사를	ᄆ ᅩ ᄋ ᅴ ᄀ ᅩ ᄉ ᅡ ᄅ ᅳ ᆯ
시험에	ᄉ ᅵ ᄒ ᅥ ᄆ ᅦ
목숨까지	ᄆ ᅩ ᆨ ᄊ ᅮ ᆷ ᄁ ᅡ ᄌ ᅵ
모의고사라고	ᄆ ᅩ ᄋ ᅴ ᄀ ᅩ ᄉ ᅡ ᄅ ᅡ ᄀ ᅩ
만만하게	ᄆ ᅡ ᆫ ᄆ ᅡ ᆫ ᄒ ᅡ ᄀ ᅦ
수능까지	ᄉ ᅮ ᄂ ᅳ ᆼ ᄁ ᅡ ᄌ ᅵ
잔소리가	ᄌ ᅡ ᆫ ᄉ ᅩ ᄅ ᅵ ᄀ ᅡ
진심에서	ᄌ ᅵ ᆫ ᄉ ᅵ ᄆ ᅦ ᄉ ᅥ
소리라고	ᄉ ᅩ ᄅ ᅵ ᄅ ᅡ ᄀ ᅩ
성적표를	ᄉ ᅥ ᆼ ᄌ ᅥ ᆨ ᄑ ᅭ ᄅ ᅳ ᆯ
걱정된다고	ᄀ ᅥ ᆨ ᄍ ᅥ ᆼ ᄃ ᅬ ᆫ ᄃ ᅡ ᄀ ᅩ
보여주더라	ᄇ ᅩ ᄋ ᅧ ᄌ ᅮ ᄃ ᅥ ᄅ ᅡ
그래가지고	ᄀ ᅳ ᄅ ᅢ ᄀ ᅡ ᄌ ᅵ ᄀ ᅩ
부탁이니까	ᄇ ᅮ ᄐ ᅡ ᄀ ᅵ ᄂ ᅵ ᄁ ᅡ
고삼	ᄀ ᅩ ᄉ ᅡ ᆷ
이라서	ᄋ ᅵ ᄅ ᅡ ᄉ ᅥ
받거든	ᄇ ᅡ ᆮ ᄁ ᅥ ᄃ ᅳ ᆫ
준다던데	ᄌ ᅮ ᆫ ᄃ ᅡ ᄃ ᅥ ᆫ ᄃ ᅦ
과외야	ᄀ ᅪ ᄋ ᅬ ᄋ ᅣ
없단	ᄋ ᅥ ᆸ ᄄ ᅡ ᆫ
과외라도	ᄀ ᅪ ᄋ ᅬ ᄅ ᅡ ᄃ ᅩ
오르지	ᄋ ᅩ ᄅ ᅳ ᄌ ᅵ
커리큘럼	ᄏ ᅥ ᄅ ᅵ ᄏ ᅲ ᆯ ᄅ ᅥ ᆷ
따라가면	ᄄ ᅡ ᄅ ᅡ ᄀ ᅡ ᄆ ᅧ ᆫ
보장도	ᄇ ᅩ ᄌ ᅡ ᆼ ᄃ ᅩ
과외가	ᄀ ᅪ ᄋ ᅬ ᄀ ᅡ
과외해서	ᄀ ᅪ ᄋ ᅬ ᄒ ᅢ ᄉ ᅥ
올랐는데	ᄋ ᅩ ᆯ ᄅ ᅡ ᆫ ᄂ ᅳ ᆫ ᄃ ᅦ
과외한다고	ᄀ ᅪ ᄋ ᅬ ᄒ ᅡ ᆫ ᄃ ᅡ ᄀ ᅩ
에너지만	ᄋ ᅦ ᄂ ᅥ ᄌ ᅵ ᄆ ᅡ ᆫ
분산되고	ᄇ ᅮ ᆫ ᄉ ᅡ ᆫ ᄃ ᅬ ᄀ ᅩ
맞았단	ᄆ ᅡ ᄌ ᅡ ᆮ ᄄ ᅡ ᆫ
후회하지	ᄒ ᅮ ᄒ ᅬ ᄒ ᅡ ᄌ ᅵ
정섭이	ᄌ ᅥ ᆼ ᄉ ᅥ ᄇ ᅵ
김정섭	ᄀ ᅵ ᆷ ᄌ ᅥ ᆼ ᄉ ᅥ ᆸ
고백했었던	ᄀ ᅩ ᄇ ᅢ ᄏ ᅢ ᄊ ᅥ ᆮ ᄄ ᅥ ᆫ
애잖아	ᄋ ᅢ ᄌ ᅡ ᄂ ᅡ
웃겼었는데	ᄋ ᅮ ᆮ ᄁ ᅧ ᄊ ᅥ ᆫ ᄂ ᅳ ᆫ ᄃ ᅦ
어저께	ᄋ ᅥ ᄌ ᅥ ᄁ ᅦ
그러더라	ᄀ ᅳ ᄅ ᅥ ᄃ ᅥ ᄅ ᅡ
일이래	ᄋ ᅵ ᄅ ᅵ ᄅ ᅢ
다쳤대	ᄃ ᅡ ᄎ ᅥ ᆮ ᄄ ᅢ
다쳤다나	ᄃ ᅡ ᄎ ᅥ ᆮ ᄄ ᅡ ᄂ ᅡ
의식이	ᄋ ᅴ ᄉ ᅵ ᄀ ᅵ
병문안이라도	ᄇ ᅧ ᆼ ᄆ ᅮ ᄂ ᅡ ᄂ ᅵ ᄅ ᅡ ᄃ ᅩ
싶던	ᄉ ᅵ ᆸ ᄄ ᅥ ᆫ
참이야	ᄎ ᅡ ᄆ ᅵ ᄋ ᅣ
착잡하네	ᄎ ᅡ ᆨ ᄍ ᅡ ᄑ ᅡ ᄂ ᅦ
애매하지	ᄋ ᅢ ᄆ ᅢ ᄒ ᅡ ᄌ ᅵ
되니깐	ᄃ ᅬ ᄂ ᅵ ᄁ ᅡ ᆫ
병문	ᄇ ᅧ ᆼ ᄆ ᅮ ᆫ
동아리에는	ᄃ ᅩ ᆼ ᄋ ᅡ ᄅ ᅵ ᄋ ᅦ ᄂ ᅳ ᆫ
전성기였잖아요	ᄌ ᅥ ᆫ ᄉ ᅥ ᆼ ᄀ ᅵ ᄋ ᅧ ᆮ ᄍ ᅡ ᄂ ᅡ ᄋ ᅭ
정우	ᄌ ᅥ ᆼ ᄋ ᅮ
몰려오고	ᄆ ᅩ ᆯ ᄅ ᅧ ᄋ ᅩ ᄀ ᅩ
몰려온	ᄆ ᅩ ᆯ ᄅ ᅧ ᄋ ᅩ ᆫ
당황스럽게	ᄃ ᅡ ᆼ ᄒ ᅪ ᆼ ᄉ ᅳ ᄅ ᅥ ᆸ ᄁ ᅦ
하냐니	ᄒ ᅡ ᄂ ᅣ ᄂ ᅵ
사실인데	ᄉ ᅡ ᄉ ᅵ ᄅ ᅵ ᆫ ᄃ ᅦ
팩트잖아	ᄑ ᅢ ᆨ ᄐ ᅳ ᄌ ᅡ ᄂ ᅡ
에이스	ᄋ ᅦ ᄋ ᅵ ᄉ ᅳ
메인	ᄆ ᅦ ᄋ ᅵ ᆫ
보컬	ᄇ ᅩ ᄏ ᅥ ᆯ
공연도	ᄀ ᅩ ᆼ ᄋ ᅧ ᆫ ᄃ ᅩ
이후에	ᄋ ᅵ ᄒ ᅮ ᄋ ᅦ
지나간	ᄌ ᅵ ᄂ ᅡ ᄀ ᅡ ᆫ
일이지만	ᄋ ᅵ ᄅ ᅵ ᄌ ᅵ ᄆ ᅡ ᆫ
추억일	ᄎ ᅮ ᄋ ᅥ ᄀ ᅵ ᆯ
오랜만이에요	ᄋ ᅩ ᄅ ᅢ ᆫ ᄆ ᅡ ᄂ ᅵ ᄋ ᅦ ᄋ ᅭ
오시네요	ᄋ ᅩ ᄉ ᅵ ᄂ ᅦ ᄋ ᅭ
기웃거리면	ᄀ ᅵ ᄋ ᅮ ᆮ ᄁ ᅥ ᄅ ᅵ ᄆ ᅧ ᆫ
후배들한테	ᄒ ᅮ ᄇ ᅢ ᄃ ᅳ ᆯ ᄒ ᅡ ᆫ ᄐ ᅦ
욕먹어	ᄋ ᅭ ᆼ ᄆ ᅥ ᄀ ᅥ
고등학교는	ᄀ ᅩ ᄃ ᅳ ᆼ ᄒ ᅡ ᆨ ᄁ ᅭ ᄂ ᅳ ᆫ
재미없어서	ᄌ ᅢ ᄆ ᅵ ᄋ ᅥ ᆸ ᄊ ᅥ ᄉ ᅥ
좋더라구	ᄌ ᅩ ᄐ ᅥ ᄅ ᅡ ᄀ ᅮ
학교라고	ᄒ ᅡ ᆨ ᄁ ᅭ ᄅ ᅡ ᄀ ᅩ
좋으시겠어요	ᄌ ᅩ ᄋ ᅳ ᄉ ᅵ ᄀ ᅦ ᄊ ᅥ ᄋ ᅭ
선배만큼	ᄉ ᅥ ᆫ ᄇ ᅢ ᄆ ᅡ ᆫ ᄏ ᅳ ᆷ
잘하지도	ᄌ ᅡ ᆯ ᄒ ᅡ ᄌ ᅵ ᄃ ᅩ
부르셨어요	ᄇ ᅮ ᄅ ᅳ ᄉ ᅧ ᄊ ᅥ ᄋ ᅭ
사이는	ᄉ ᅡ ᄋ ᅵ ᄂ ᅳ ᆫ
부르시니까	ᄇ ᅮ ᄅ ᅳ ᄉ ᅵ ᄂ ᅵ ᄁ ᅡ
이상하잖아요	ᄋ ᅵ ᄉ ᅡ ᆼ ᄒ ᅡ ᄌ ᅡ ᄂ ᅡ ᄋ ᅭ
생각나서	ᄉ ᅢ ᆼ ᄀ ᅡ ᆼ ᄂ ᅡ ᄉ ᅥ
씹으셨었잖아요	ᄊ ᅵ ᄇ ᅳ ᄉ ᅧ ᄊ ᅥ ᆮ ᄍ ᅡ ᄂ ᅡ ᄋ ᅭ
연락하기	ᄋ ᅧ ᆯ ᄅ ᅡ ᄏ ᅡ ᄀ ᅵ
싫으셨던	ᄉ ᅵ ᄅ ᅳ ᄉ ᅧ ᆮ ᄄ ᅥ ᆫ
싫을	ᄉ ᅵ ᄅ ᅳ ᆯ
오해야	ᄋ ᅩ ᄒ ᅢ ᄋ ᅣ
선배가	ᄉ ᅥ ᆫ ᄇ ᅢ ᄀ ᅡ
오해할	ᄋ ᅩ ᄒ ᅢ ᄒ ᅡ ᆯ
행동	ᄒ ᅢ ᆼ ᄃ ᅩ ᆼ
헷갈리니까	ᄒ ᅦ ᆮ ᄁ ᅡ ᆯ ᄅ ᅵ ᄂ ᅵ ᄁ ᅡ
까칠하게	ᄁ ᅡ ᄎ ᅵ ᆯ ᄒ ᅡ ᄀ ᅦ
굴어	ᄀ ᅮ ᄅ ᅥ
애였어요	ᄋ ᅢ ᄋ ᅧ ᄊ ᅥ ᄋ ᅭ
착각하지	ᄎ ᅡ ᆨ ᄁ ᅡ ᄏ ᅡ ᄌ ᅵ
나가버리니까	ᄂ ᅡ ᄀ ᅡ ᄇ ᅥ ᄅ ᅵ ᄂ ᅵ ᄁ ᅡ
당황스러웠잖아	ᄃ ᅡ ᆼ ᄒ ᅪ ᆼ ᄉ ᅳ ᄅ ᅥ ᄋ ᅯ ᆮ ᄍ ᅡ ᄂ ᅡ
아까는	ᄋ ᅡ ᄁ ᅡ ᄂ ᅳ ᆫ
흥분했어요	ᄒ ᅳ ᆼ ᄇ ᅮ ᆫ ᄒ ᅢ ᄊ ᅥ ᄋ ᅭ
흥분할	ᄒ ᅳ ᆼ ᄇ ᅮ ᆫ ᄒ ᅡ ᆯ
말투	ᄆ ᅡ ᆯ ᄐ ᅮ
싸웠었잖아	ᄊ ᅡ ᄋ ᅯ ᄊ ᅥ ᆮ ᄍ ᅡ ᄂ ᅡ
선배랑	ᄉ ᅥ ᆫ ᄇ ᅢ ᄅ ᅡ ᆼ
싸웠어요	ᄊ ᅡ ᄋ ᅯ ᄊ ᅥ ᄋ ᅭ
해야죠	ᄒ ᅢ ᄋ ᅣ ᄌ ᅭ
선배한테	ᄉ ᅥ ᆫ ᄇ ᅢ ᄒ ᅡ ᆫ ᄐ ᅦ
혼난	ᄒ ᅩ ᆫ ᄂ ᅡ ᆫ
혼을	ᄒ ᅩ ᄂ ᅳ ᆯ
내겠어	ᄂ ᅢ ᄀ ᅦ ᄊ ᅥ
선배라도	ᄉ ᅥ ᆫ ᄇ ᅢ ᄅ ᅡ ᄃ ᅩ
혼낸	ᄒ ᅩ ᆫ ᄂ ᅢ ᆫ
싸운	ᄊ ᅡ ᄋ ᅮ ᆫ
기분이었는데요	ᄀ ᅵ ᄇ ᅮ ᄂ ᅵ ᄋ ᅥ ᆫ ᄂ ᅳ ᆫ ᄃ ᅦ ᄋ ᅭ
생각하겠어요	ᄉ ᅢ ᆼ ᄀ ᅡ ᄏ ᅡ ᄀ ᅦ ᄊ ᅥ ᄋ ᅭ
희망	ᄒ ᅵ ᄆ ᅡ ᆼ
마찬가지에요	ᄆ ᅡ ᄎ ᅡ ᆫ ᄀ ᅡ ᄌ ᅵ ᄋ ᅦ ᄋ ᅭ
사도	ᄉ ᅡ ᄃ ᅩ
사주는	ᄉ ᅡ ᄌ ᅮ ᄂ ᅳ ᆫ
얻어	ᄋ ᅥ ᄃ ᅥ
마끼아	ᄆ ᅡ ᄁ ᅵ ᄋ ᅡ
또랑	ᄄ ᅩ ᄅ ᅡ ᆼ
라떼랑	ᄅ ᅡ ᄄ ᅦ ᄅ ᅡ ᆼ
깨려고	ᄁ ᅢ ᄅ ᅧ ᄀ ᅩ
마시다	ᄆ ᅡ ᄉ ᅵ ᄃ ᅡ
맛있던데요	ᄆ ᅡ ᄉ ᅵ ᆮ ᄄ ᅥ ᆫ ᄃ ᅦ ᄋ ᅭ
깔끔하고	ᄁ ᅡ ᆯ ᄁ ᅳ ᆷ ᄒ ᅡ ᄀ ᅩ
바뀌었네	ᄇ ᅡ ᄁ ᅱ ᄋ ᅥ ᆫ ᄂ ᅦ
아메리카노로	ᄋ ᅡ ᄆ ᅦ ᄅ ᅵ ᄏ ᅡ ᄂ ᅩ ᄅ ᅩ
시험기간	ᄉ ᅵ ᄒ ᅥ ᆷ ᄀ ᅵ ᄀ ᅡ ᆫ
이었던가	ᄋ ᅵ ᄋ ᅥ ᆮ ᄄ ᅥ ᆫ ᄀ ᅡ
중간고사에요	ᄌ ᅮ ᆼ ᄀ ᅡ ᆫ ᄀ ᅩ ᄉ ᅡ ᄋ ᅦ ᄋ ᅭ
범위도	ᄇ ᅥ ᄆ ᅱ ᄃ ᅩ
진도도	ᄌ ᅵ ᆫ ᄃ ᅩ ᄃ ᅩ
나가서요	ᄂ ᅡ ᄀ ᅡ ᄉ ᅥ ᄋ ᅭ
대학교랑	ᄃ ᅢ ᄒ ᅡ ᆨ ᄁ ᅭ ᄅ ᅡ ᆼ
고등학교랑은	ᄀ ᅩ ᄃ ᅳ ᆼ ᄒ ᅡ ᆨ ᄁ ᅭ ᄅ ᅡ ᆼ ᄋ ᅳ ᆫ
시험기간이	ᄉ ᅵ ᄒ ᅥ ᆷ ᄀ ᅵ ᄀ ᅡ ᄂ ᅵ
헷갈리네	ᄒ ᅦ ᆮ ᄁ ᅡ ᆯ ᄅ ᅵ ᄂ ᅦ
기간은	ᄀ ᅵ ᄀ ᅡ ᄂ ᅳ ᆫ
기간이면	ᄀ ᅵ ᄀ ᅡ ᄂ ᅵ ᄆ ᅧ ᆫ
명색이	ᄆ ᅧ ᆼ ᄉ ᅢ ᄀ ᅵ
수험생이니까	ᄉ ᅮ ᄒ ᅥ ᆷ ᄉ ᅢ ᆼ ᄋ ᅵ ᄂ ᅵ ᄁ ᅡ
수험생인	ᄉ ᅮ ᄒ ᅥ ᆷ ᄉ ᅢ ᆼ ᄋ ᅵ ᆫ
걱정한다니까	ᄀ ᅥ ᆨ ᄍ ᅥ ᆼ ᄒ ᅡ ᆫ ᄃ ᅡ ᄂ ᅵ ᄁ ᅡ
고삼이라고	ᄀ ᅩ ᄉ ᅡ ᄆ ᅵ ᄅ ᅡ ᄀ ᅩ
그리울	ᄀ ᅳ ᄅ ᅵ ᄋ ᅮ ᆯ
주느라	ᄌ ᅮ ᄂ ᅳ ᄅ ᅡ
비위를	ᄇ ᅵ ᄋ ᅱ ᄅ ᅳ ᆯ
주다니	ᄌ ᅮ ᄃ ᅡ ᄂ ᅵ
집안에	ᄌ ᅵ ᄇ ᅡ ᄂ ᅦ
고삼이	ᄀ ᅩ ᄉ ᅡ ᄆ ᅵ
명이라도	ᄆ ᅧ ᆼ ᄋ ᅵ ᄅ ᅡ ᄃ ᅩ
챙겨주기는	ᄎ ᅢ ᆼ ᄀ ᅧ ᄌ ᅮ ᄀ ᅵ ᄂ ᅳ ᆫ
놀러와	ᄂ ᅩ ᆯ ᄅ ᅥ ᄋ ᅪ
축제요	ᄎ ᅮ ᆨ ᄍ ᅦ ᄋ ᅭ
연예인들도	ᄋ ᅧ ᄂ ᅨ ᄋ ᅵ ᆫ ᄃ ᅳ ᆯ ᄃ ᅩ
좋아하지는	ᄌ ᅩ ᄋ ᅡ ᄒ ᅡ ᄌ ᅵ ᄂ ᅳ ᆫ
축제에	ᄎ ᅮ ᆨ ᄍ ᅦ ᄋ ᅦ
고등학생들	ᄀ ᅩ ᄃ ᅳ ᆼ ᄒ ᅡ ᆨ ᄊ ᅢ ᆼ ᄃ ᅳ ᆯ
마요	ᄆ ᅡ ᄋ ᅭ
말자구요	ᄆ ᅡ ᆯ ᄌ ᅡ ᄀ ᅮ ᄋ ᅭ
성인이고	ᄉ ᅥ ᆼ ᄋ ᅵ ᄂ ᅵ ᄀ ᅩ
고등학생이잖아요	ᄀ ᅩ ᄃ ᅳ ᆼ ᄒ ᅡ ᆨ ᄊ ᅢ ᆼ ᄋ ᅵ ᄌ ᅡ ᄂ ᅡ ᄋ ᅭ
차이도	ᄎ ᅡ ᄋ ᅵ ᄃ ᅩ
불편한데	ᄇ ᅮ ᆯ ᄑ ᅧ ᆫ ᄒ ᅡ ᆫ ᄃ ᅦ
났던	ᄂ ᅡ ᆮ ᄄ ᅥ ᆫ
죽었대	ᄌ ᅮ ᄀ ᅥ ᆮ ᄄ ᅢ
났다더니	ᄂ ᅡ ᆮ ᄄ ᅡ ᄃ ᅥ ᄂ ᅵ
회복을	ᄒ ᅬ ᄇ ᅩ ᄀ ᅳ ᆯ
속상하네	ᄉ ᅩ ᆨ ᄊ ᅡ ᆼ ᄒ ᅡ ᄂ ᅦ
가봐야지	ᄀ ᅡ ᄇ ᅪ ᄋ ᅣ ᄌ ᅵ
서연대학병원	ᄉ ᅥ ᄋ ᅧ ᆫ ᄃ ᅢ ᄒ ᅡ ᆨ ᄈ ᅧ ᆼ ᄋ ᅯ ᆫ
장례식장	ᄌ ᅡ ᆼ ᄂ ᅨ ᄉ ᅵ ᆨ ᄍ ᅡ ᆼ
부모님도	ᄇ ᅮ ᄆ ᅩ ᄂ ᅵ ᆷ ᄃ ᅩ
병문안은	ᄇ ᅧ ᆼ ᄆ ᅮ ᄂ ᅡ ᄂ ᅳ ᆫ
가봤지만	ᄀ ᅡ ᄇ ᅪ ᆮ ᄍ ᅵ ᄆ ᅡ ᆫ
장례식은	ᄌ ᅡ ᆼ ᄂ ᅨ ᄉ ᅵ ᄀ ᅳ ᆫ
옷으로	ᄋ ᅩ ᄉ ᅳ ᄅ ᅩ
김정민이야	ᄀ ᅵ ᆷ ᄌ ᅥ ᆼ ᄆ ᅵ ᄂ ᅵ ᄋ ᅣ
오수민이예요	ᄋ ᅩ ᄉ ᅮ ᄆ ᅵ ᄂ ᅵ ᄋ ᅨ ᄋ ᅭ
한국대학교	ᄒ ᅡ ᆫ ᄀ ᅮ ᆨ ᄄ ᅢ ᄒ ᅡ ᆨ ᄁ ᅭ
잘했으니까	ᄌ ᅡ ᆯ ᄒ ᅢ ᄊ ᅳ ᄂ ᅵ ᄁ ᅡ
한국대학교는	ᄒ ᅡ ᆫ ᄀ ᅮ ᆨ ᄄ ᅢ ᄒ ᅡ ᆨ ᄁ ᅭ ᄂ ᅳ ᆫ
경영학과도	ᄀ ᅧ ᆼ ᄋ ᅧ ᆼ ᄒ ᅡ ᆨ ᄁ ᅪ ᄃ ᅩ
경영학과에서	ᄀ ᅧ ᆼ ᄋ ᅧ ᆼ ᄒ ᅡ ᆨ ᄁ ᅪ ᄋ ᅦ ᄉ ᅥ
인문계로	ᄋ ᅵ ᆫ ᄆ ᅮ ᆫ ᄀ ᅨ ᄅ ᅩ
분류되어	ᄇ ᅮ ᆯ ᄅ ᅲ ᄃ ᅬ ᄋ ᅥ
경영학에서	ᄀ ᅧ ᆼ ᄋ ᅧ ᆼ ᄒ ᅡ ᄀ ᅦ ᄉ ᅥ
차지하는	ᄎ ᅡ ᄌ ᅵ ᄒ ᅡ ᄂ ᅳ ᆫ
비중이	ᄇ ᅵ ᄌ ᅮ ᆼ ᄋ ᅵ
경영학과는	ᄀ ᅧ ᆼ ᄋ ᅧ ᆼ ᄒ ᅡ ᆨ ᄁ ᅪ ᄂ ᅳ ᆫ
가겠네요	ᄀ ᅡ ᄀ ᅦ ᆫ ᄂ ᅦ ᄋ ᅭ
인문계	ᄋ ᅵ ᆫ ᄆ ᅮ ᆫ ᄀ ᅨ
경영학과가	ᄀ ᅧ ᆼ ᄋ ᅧ ᆼ ᄒ ᅡ ᆨ ᄁ ᅪ ᄀ ᅡ
취업	ᄎ ᅱ ᄋ ᅥ ᆸ
경영학과로	ᄀ ᅧ ᆼ ᄋ ᅧ ᆼ ᄒ ᅡ ᆨ ᄁ ᅪ ᄅ ᅩ
진학할까	ᄌ ᅵ ᆫ ᄒ ᅡ ᄏ ᅡ ᆯ ᄁ ᅡ
스트레스겠지만	ᄉ ᅳ ᄐ ᅳ ᄅ ᅦ ᄉ ᅳ ᄀ ᅦ ᆮ ᄍ ᅵ ᄆ ᅡ ᆫ
수학에	ᄉ ᅮ ᄒ ᅡ ᄀ ᅦ
붙으면	ᄇ ᅮ ᄐ ᅳ ᄆ ᅧ ᆫ
경영학만큼	ᄀ ᅧ ᆼ ᄋ ᅧ ᆼ ᄒ ᅡ ᆼ ᄆ ᅡ ᆫ ᄏ ᅳ ᆷ
멘트	ᄆ ᅦ ᆫ ᄐ ᅳ
오셨는데요	ᄋ ᅩ ᄉ ᅧ ᆫ ᄂ ᅳ ᆫ ᄃ ᅦ ᄋ ᅭ
말하기	ᄆ ᅡ ᆯ ᄒ ᅡ ᄀ ᅵ
지났는지	ᄌ ᅵ ᄂ ᅡ ᆫ ᄂ ᅳ ᆫ ᄌ ᅵ
시작하자	ᄉ ᅵ ᄌ ᅡ ᄏ ᅡ ᄌ ᅡ
시작해요	ᄉ ᅵ ᄌ ᅡ ᄏ ᅢ ᄋ ᅭ
됐는데요	ᄃ ᅫ ᆫ ᄂ ᅳ ᆫ ᄃ ᅦ ᄋ ᅭ
궁금하니까	ᄀ ᅮ ᆼ ᄀ ᅳ ᆷ ᄒ ᅡ ᄂ ᅵ ᄁ ᅡ
일쯤	ᄋ ᅵ ᆯ ᄍ ᅳ ᆷ
오백일	ᄋ ᅩ ᄇ ᅢ ᄀ ᅵ ᆯ
많지는	ᄆ ᅡ ᆫ ᄎ ᅵ ᄂ ᅳ ᆫ
이상은	ᄋ ᅵ ᄉ ᅡ ᆼ ᄋ ᅳ ᆫ
문제들이	ᄆ ᅮ ᆫ ᄌ ᅦ ᄃ ᅳ ᄅ ᅵ
어려워서	ᄋ ᅥ ᄅ ᅧ ᄋ ᅯ ᄉ ᅥ
랜덤으로	ᄅ ᅢ ᆫ ᄃ ᅥ ᄆ ᅳ ᄅ ᅩ
섞여	ᄉ ᅥ ᄁ ᅧ
있었단	ᄋ ᅵ ᄊ ᅥ ᆮ ᄄ ᅡ ᆫ
문제들도	ᄆ ᅮ ᆫ ᄌ ᅦ ᄃ ᅳ ᆯ ᄃ ᅩ
뜻인데요	ᄄ ᅳ ᄉ ᅵ ᆫ ᄃ ᅦ ᄋ ᅭ
투자하지	ᄐ ᅮ ᄌ ᅡ ᄒ ᅡ ᄌ ᅵ
않았다는	ᄋ ᅡ ᄂ ᅡ ᆮ ᄄ ᅡ ᄂ ᅳ ᆫ
뜻이지	ᄄ ᅳ ᄉ ᅵ ᄌ ᅵ
미드	ᄆ ᅵ ᄃ ᅳ
시즌	ᄉ ᅵ ᄌ ᅳ ᆫ
보느라고	ᄇ ᅩ ᄂ ᅳ ᄅ ᅡ ᄀ ᅩ
야자	ᄋ ᅣ ᄌ ᅡ
아니어도	ᄋ ᅡ ᄂ ᅵ ᄋ ᅥ ᄃ ᅩ
삼이	ᄉ ᅡ ᄆ ᅵ
미드를	ᄆ ᅵ ᄃ ᅳ ᄅ ᅳ ᆯ
