씨	ᄊ ᅵ
경쟁력이라는	ᄀ ᅧ ᆼ ᄌ ᅢ ᆼ ᄂ ᅧ ᄀ ᅵ ᄅ ᅡ ᄂ ᅳ ᆫ
값싸고	ᄀ ᅡ ᆸ ᄊ ᅡ ᄀ ᅩ
품질이	ᄑ ᅮ ᆷ ᄌ ᅵ ᄅ ᅵ
우수하고	ᄋ ᅮ ᄉ ᅮ ᄒ ᅡ ᄀ ᅩ
입맛에	ᄋ ᅵ ᆷ ᄆ ᅡ ᄉ ᅦ
맞아야	ᄆ ᅡ ᄌ ᅡ ᄋ ᅣ
바라는	ᄇ ᅡ ᄅ ᅡ ᄂ ᅳ ᆫ
시간에	ᄉ ᅵ ᄀ ᅡ ᄂ ᅦ
맞추어	ᄆ ᅡ ᆮ ᄎ ᅮ ᄋ ᅥ
제때에	ᄌ ᅦ ᄄ ᅢ ᄋ ᅦ
공급해	ᄀ ᅩ ᆼ ᄀ ᅳ ᄑ ᅢ
갖춰야	ᄀ ᅡ ᆮ ᄎ ᅯ ᄋ ᅣ
선택을	ᄉ ᅥ ᆫ ᄐ ᅢ ᄀ ᅳ ᆯ
받을	ᄇ ᅡ ᄃ ᅳ ᆯ
갖춘	ᄀ ᅡ ᆮ ᄎ ᅮ ᆫ
골라	ᄀ ᅩ ᆯ ᄅ ᅡ
싫증나죠	ᄉ ᅵ ᆯ ᄎ ᅳ ᆼ ᄂ ᅡ ᄌ ᅭ
한계	ᄒ ᅡ ᆫ ᄀ ᅨ
원리	ᄋ ᅯ ᆯ ᄅ ᅵ
머슴을	ᄆ ᅥ ᄉ ᅳ ᄆ ᅳ ᆯ
뽑기로	ᄈ ᅩ ᆸ ᄁ ᅵ ᄅ ᅩ
방방곡곡에	ᄇ ᅡ ᆼ ᄇ ᅡ ᆼ ᄀ ᅩ ᆨ ᄁ ᅩ ᄀ ᅦ
모집	ᄆ ᅩ ᄌ ᅵ ᆸ
머슴	ᄆ ᅥ ᄉ ᅳ ᆷ
건장한	ᄀ ᅥ ᆫ ᄌ ᅡ ᆼ ᄒ ᅡ ᆫ
힘겨루기	ᄒ ᅵ ᆷ ᄀ ᅧ ᄅ ᅮ ᄀ ᅵ
대회에서	ᄃ ᅢ ᄒ ᅬ ᄋ ᅦ ᄉ ᅥ
우승한	ᄋ ᅮ ᄉ ᅳ ᆼ ᄒ ᅡ ᆫ
날짜	ᄂ ᅡ ᆯ ᄍ ᅡ
병인년	ᄇ ᅧ ᆼ ᄋ ᅵ ᆫ ᄂ ᅧ ᆫ
유월	ᄋ ᅲ ᄋ ᅯ ᆯ
이십삼일	ᄋ ᅵ ᄉ ᅵ ᆸ ᄊ ᅡ ᄆ ᅵ ᆯ
장소	ᄌ ᅡ ᆼ ᄉ ᅩ
충청도	ᄎ ᅮ ᆼ ᄎ ᅥ ᆼ ᄃ ᅩ
제천마을	ᄌ ᅦ ᄎ ᅥ ᆫ ᄆ ᅡ ᄋ ᅳ ᆯ
금성부락	ᄀ ᅳ ᆷ ᄉ ᅥ ᆼ ᄇ ᅮ ᄅ ᅡ ᆨ
마당	ᄆ ᅡ ᄃ ᅡ ᆼ
찰밥을	ᄎ ᅡ ᆯ ᄇ ᅡ ᄇ ᅳ ᆯ
평생	ᄑ ᅧ ᆼ ᄉ ᅢ ᆼ
플대로	ᄑ ᅳ ᆯ ᄃ ᅢ ᄅ ᅩ
해줌	ᄒ ᅢ ᄌ ᅮ ᆷ
하루에	ᄒ ᅡ ᄅ ᅮ ᄋ ᅦ
그릇	ᄀ ᅳ ᄅ ᅳ ᆮ
어려웠던	ᄋ ᅥ ᄅ ᅧ ᄋ ᅯ ᆮ ᄄ ᅥ ᆫ
시절	ᄉ ᅵ ᄌ ᅥ ᆯ
웬	ᄋ ᅰ ᆫ
찰밥	ᄎ ᅡ ᆯ ᄇ ᅡ ᆸ
그것도	ᄀ ᅳ ᄀ ᅥ ᆮ ᄄ ᅩ
구름	ᄀ ᅮ ᄅ ᅳ ᆷ
모였어요	ᄆ ᅩ ᄋ ᅧ ᄊ ᅥ ᄋ ᅭ
열린	ᄋ ᅧ ᆯ ᄅ ᅵ ᆫ
대회	ᄃ ᅢ ᄒ ᅬ
바위	ᄇ ᅡ ᄋ ᅱ
들어올리기	ᄃ ᅳ ᄅ ᅥ ᄋ ᅩ ᆯ ᄅ ᅵ ᄀ ᅵ
씨름대회	ᄊ ᅵ ᄅ ᅳ ᆷ ᄃ ᅢ ᄒ ᅬ
줄다리기	ᄌ ᅮ ᆯ ᄃ ᅡ ᄅ ᅵ ᄀ ᅵ
마침내	ᄆ ᅡ ᄎ ᅵ ᆷ ᄂ ᅢ
돌쇠가	ᄃ ᅩ ᆯ ᄉ ᅬ ᄀ ᅡ
승자로	ᄉ ᅳ ᆼ ᄌ ᅡ ᄅ ᅩ
뽑혔어요	ᄈ ᅩ ᄑ ᅧ ᄊ ᅥ ᄋ ᅭ
이튿날	ᄋ ᅵ ᄐ ᅳ ᆫ ᄂ ᅡ ᆯ
부터	ᄇ ᅮ ᄐ ᅥ
돌쇠는	ᄃ ᅩ ᆯ ᄉ ᅬ ᄂ ᅳ ᆫ
일했어요	ᄋ ᅵ ᆯ ᄒ ᅢ ᄊ ᅥ ᄋ ᅭ
영감은	ᄋ ᅧ ᆼ ᄀ ᅡ ᄆ ᅳ ᆫ
그에게	ᄀ ᅳ ᄋ ᅦ ᄀ ᅦ
해줬죠	ᄒ ᅢ ᄌ ᅯ ᆮ ᄍ ᅭ
아침에	ᄋ ᅡ ᄎ ᅵ ᄆ ᅦ
점심때도	ᄌ ᅥ ᆷ ᄉ ᅵ ᆷ ᄄ ᅢ ᄃ ᅩ
저녁에도	ᄌ ᅥ ᄂ ᅧ ᄀ ᅦ ᄃ ᅩ
먹어	ᄆ ᅥ ᄀ ᅥ
치웠어요	ᄎ ᅵ ᄋ ᅯ ᄊ ᅥ ᄋ ᅭ
달이	ᄃ ᅡ ᄅ ᅵ
지나자	ᄌ ᅵ ᄂ ᅡ ᄌ ᅡ
그렇	ᄀ ᅳ ᄅ ᅥ ᆮ
좋아하던	ᄌ ᅩ ᄋ ᅡ ᄒ ᅡ ᄃ ᅥ ᆫ
못했어요	ᄆ ᅩ ᄐ ᅢ ᄊ ᅥ ᄋ ᅭ
실증이	ᄉ ᅵ ᆯ ᄌ ᅳ ᆼ ᄋ ᅵ
넘어서면	ᄂ ᅥ ᄆ ᅥ ᄉ ᅥ ᄆ ᅧ ᆫ
줄어드는	ᄌ ᅮ ᄅ ᅥ ᄃ ᅳ ᄂ ᅳ ᆫ
맞는	ᄆ ᅡ ᆫ ᄂ ᅳ ᆫ
보여줍니다	ᄇ ᅩ ᄋ ᅧ ᄌ ᅮ ᆷ ᄂ ᅵ ᄃ ᅡ
도를	ᄃ ᅩ ᄅ ᅳ ᆯ
높여주기보다	ᄂ ᅩ ᄑ ᅧ ᄌ ᅮ ᄀ ᅵ ᄇ ᅩ ᄃ ᅡ
재앙이	ᄌ ᅢ ᄋ ᅡ ᆼ ᄋ ᅵ
보여주고	ᄇ ᅩ ᄋ ᅧ ᄌ ᅮ ᄀ ᅩ
음식도	ᄋ ᅳ ᆷ ᄉ ᅵ ᆨ ᄄ ᅩ
싫다	ᄉ ᅵ ᆯ ᄐ ᅡ
흉년의	ᄒ ᅲ ᆼ ᄂ ᅧ ᄂ ᅴ
나면	ᄂ ᅡ ᄆ ᅧ ᆫ
싸다	ᄊ ᅡ ᄃ ᅡ
노래도	ᄂ ᅩ ᄅ ᅢ ᄃ ᅩ
들으면	ᄃ ᅳ ᄅ ᅳ ᄆ ᅧ ᆫ
싫	ᄉ ᅵ ᆯ
많으면	ᄆ ᅡ ᄂ ᅳ ᄆ ᅧ ᆫ
장맛도	ᄌ ᅡ ᆼ ᄆ ᅡ ᆮ ᄄ ᅩ
쓰다는	ᄊ ᅳ ᄃ ᅡ ᄂ ᅳ ᆫ
음식	ᄋ ᅳ ᆷ ᄉ ᅵ ᆨ
노래	ᄂ ᅩ ᄅ ᅢ
효용이	ᄒ ᅭ ᄋ ᅭ ᆼ ᄋ ᅵ
높아요	ᄂ ᅩ ᄑ ᅡ ᄋ ᅭ
떨어지기	ᄄ ᅥ ᄅ ᅥ ᄌ ᅵ ᄀ ᅵ
마련	ᄆ ᅡ ᄅ ᅧ ᆫ
원리라고	ᄋ ᅯ ᆯ ᄅ ᅵ ᄅ ᅡ ᄀ ᅩ
원리는	ᄋ ᅯ ᆯ ᄅ ᅵ ᄂ ᅳ ᆫ
즐겨	ᄌ ᅳ ᆯ ᄀ ᅧ
먹는	ᄆ ᅥ ᆼ ᄂ ᅳ ᆫ
피자	ᄑ ᅵ ᄌ ᅡ
햄버거	ᄒ ᅢ ᆷ ᄇ ᅥ ᄀ ᅥ
등에도	ᄃ ᅳ ᆼ ᄋ ᅦ ᄃ ᅩ
똑같이	ᄄ ᅩ ᆨ ᄁ ᅡ ᄎ ᅵ
적용되요	ᄌ ᅥ ᄀ ᅭ ᆼ ᄃ ᅬ ᄋ ᅭ
만족도를	ᄆ ᅡ ᆫ ᄌ ᅩ ᆨ ᄄ ᅩ ᄅ ᅳ ᆯ
소비하면	ᄉ ᅩ ᄇ ᅵ ᄒ ᅡ ᄆ ᅧ ᆫ
좋을까요	ᄌ ᅩ ᄋ ᅳ ᆯ ᄁ ᅡ ᄋ ᅭ
살수록	ᄉ ᅡ ᆯ ᄊ ᅮ ᄅ ᅩ ᆨ
만족감은	ᄆ ᅡ ᆫ ᄌ ᅩ ᆨ ᄁ ᅡ ᄆ ᅳ ᆫ
개에	ᄀ ᅢ ᄋ ᅦ
좋다는	ᄌ ᅩ ᄐ ᅡ ᄂ ᅳ ᆫ
만족감이	ᄆ ᅡ ᆫ ᄌ ᅩ ᆨ ᄁ ᅡ ᄆ ᅵ
할수록	ᄒ ᅡ ᆯ ᄊ ᅮ ᄅ ᅩ ᆨ
만족도는	ᄆ ᅡ ᆫ ᄌ ᅩ ᆨ ᄄ ᅩ ᄂ ᅳ ᆫ
줄어들지요	ᄌ ᅮ ᄅ ᅥ ᄃ ᅳ ᆯ ᄌ ᅵ ᄋ ᅭ
재화든	ᄌ ᅢ ᄒ ᅪ ᄃ ᅳ ᆫ
무조	ᄆ ᅮ ᄌ ᅩ
건	ᄀ ᅥ ᆫ
최상은	ᄎ ᅬ ᄉ ᅡ ᆼ ᄋ ᅳ ᆫ
아니라는	ᄋ ᅡ ᄂ ᅵ ᄅ ᅡ ᄂ ᅳ ᆫ
얘기	ᄋ ᅤ ᄀ ᅵ
적당히	ᄌ ᅥ ᆨ ᄄ ᅡ ᆼ ᄒ ᅵ
써서	ᄊ ᅥ ᄉ ᅥ
만족감을	ᄆ ᅡ ᆫ ᄌ ᅩ ᆨ ᄁ ᅡ ᄆ ᅳ ᆯ
소비죠	ᄉ ᅩ ᄇ ᅵ ᄌ ᅭ
도우면	ᄃ ᅩ ᄋ ᅮ ᄆ ᅧ ᆫ
힘	ᄒ ᅵ ᆷ
보완제	ᄇ ᅩ ᄋ ᅪ ᆫ ᄌ ᅦ
장님	ᄌ ᅡ ᆼ ᄂ ᅵ ᆷ
총각이	ᄎ ᅩ ᆼ ᄀ ᅡ ᄀ ᅵ
집안에	ᄌ ᅵ ᄇ ᅡ ᄂ ᅦ
앉아	ᄋ ᅡ ᆫ ᄌ ᅡ
세월을	ᄉ ᅦ ᄋ ᅯ ᄅ ᅳ ᆯ
보냈	ᄇ ᅩ ᄂ ᅢ ᆮ
동내에	ᄃ ᅩ ᆼ ᄂ ᅢ ᄋ ᅦ
앉은뱅이	ᄋ ᅡ ᆫ ᄌ ᅳ ᆫ ᄇ ᅢ ᆼ ᄋ ᅵ
처녀가	ᄎ ᅥ ᄂ ᅧ ᄀ ᅡ
처녀와	ᄎ ᅥ ᄂ ᅧ ᄋ ᅪ
결혼을	ᄀ ᅧ ᆯ ᄒ ᅩ ᄂ ᅳ ᆯ
어떨까	ᄋ ᅥ ᄄ ᅥ ᆯ ᄁ ᅡ
업어	ᄋ ᅥ ᄇ ᅥ
나의	ᄂ ᅡ ᄋ ᅴ
된다면	ᄃ ᅬ ᆫ ᄃ ᅡ ᄆ ᅧ ᆫ
좋을	ᄌ ᅩ ᄋ ᅳ ᆯ
총각은	ᄎ ᅩ ᆼ ᄀ ᅡ ᄀ ᅳ ᆫ
중매쟁이에게	ᄌ ᅮ ᆼ ᄆ ᅢ ᄌ ᅢ ᆼ ᄋ ᅵ ᄋ ᅦ ᄀ ᅦ
전했어요	ᄌ ᅥ ᆫ ᄒ ᅢ ᄊ ᅥ ᄋ ᅭ
처녀도	ᄎ ᅥ ᄂ ᅧ ᄃ ᅩ
답이	ᄃ ᅡ ᄇ ᅵ
왔	ᄋ ᅪ ᆮ
했	ᄒ ᅢ ᆮ
구경을	ᄀ ᅮ ᄀ ᅧ ᆼ ᄋ ᅳ ᆯ
이리로	ᄋ ᅵ ᄅ ᅵ ᄅ ᅩ
가세요	ᄀ ᅡ ᄉ ᅦ ᄋ ᅭ
저기	ᄌ ᅥ ᄀ ᅵ
시냇물이	ᄉ ᅵ ᄂ ᅢ ᆫ ᄆ ᅮ ᄅ ᅵ
흐르고	ᄒ ᅳ ᄅ ᅳ ᄀ ᅩ
실	ᄉ ᅵ ᆯ
버들이	ᄇ ᅥ ᄃ ᅳ ᄅ ᅵ
바람결에	ᄇ ᅡ ᄅ ᅡ ᆷ ᄁ ᅧ ᄅ ᅦ
흩날리는	ᄒ ᅳ ᆫ ᄂ ᅡ ᆯ ᄅ ᅵ ᄂ ᅳ ᆫ
군요	ᄀ ᅮ ᄂ ᅭ
안내를	ᄋ ᅡ ᆫ ᄂ ᅢ ᄅ ᅳ ᆯ
받으며	ᄇ ᅡ ᄃ ᅳ ᄆ ᅧ
지나	ᄌ ᅵ ᄂ ᅡ
넘어갔어요	ᄂ ᅥ ᄆ ᅥ ᄀ ᅡ ᄊ ᅥ ᄋ ᅭ
아프고	ᄋ ᅡ ᄑ ᅳ ᄀ ᅩ
땀도	ᄄ ᅡ ᆷ ᄃ ᅩ
비	ᄇ ᅵ
오듯	ᄋ ᅩ ᄃ ᅳ ᆮ
흘렀어요	ᄒ ᅳ ᆯ ᄅ ᅥ ᄊ ᅥ ᄋ ᅭ
둘러보니	ᄃ ᅮ ᆯ ᄅ ᅥ ᄇ ᅩ ᄂ ᅵ
옹달샘이	ᄋ ᅩ ᆼ ᄃ ᅡ ᆯ ᄉ ᅢ ᄆ ᅵ
보였어요	ᄇ ᅩ ᄋ ᅧ ᄊ ᅥ ᄋ ᅭ
저기서	ᄌ ᅥ ᄀ ᅵ ᄉ ᅥ
목이나	ᄆ ᅩ ᄀ ᅵ ᄂ ᅡ
축이고	ᄎ ᅮ ᄀ ᅵ ᄀ ᅩ
갑시다	ᄀ ᅡ ᆸ ᄊ ᅵ ᄃ ᅡ
옹달샘에서	ᄋ ᅩ ᆼ ᄃ ᅡ ᆯ ᄉ ᅢ ᄆ ᅦ ᄉ ᅥ
마시려는데	ᄆ ᅡ ᄉ ᅵ ᄅ ᅧ ᄂ ᅳ ᆫ ᄃ ᅦ
처녀의	ᄎ ᅥ ᄂ ᅧ ᄋ ᅴ
누런	ᄂ ᅮ ᄅ ᅥ ᆫ
막대기가	ᄆ ᅡ ᆨ ᄄ ᅢ ᄀ ᅵ ᄀ ᅡ
놓여	ᄂ ᅩ ᄋ ᅧ
보물을	ᄇ ᅩ ᄆ ᅮ ᄅ ᅳ ᆯ
올	ᄋ ᅩ ᆯ
거라며	ᄀ ᅥ ᄅ ᅡ ᄆ ᅧ
두기로	ᄃ ᅮ ᄀ ᅵ ᄅ ᅩ
가다	ᄀ ᅡ ᄃ ᅡ
산적을	ᄉ ᅡ ᆫ ᄌ ᅥ ᄀ ᅳ ᆯ
만났어요	ᄆ ᅡ ᆫ ᄂ ᅡ ᄊ ᅥ ᄋ ᅭ
산적이	ᄉ ᅡ ᆫ ᄌ ᅥ ᄀ ᅵ
내놓으라고	ᄂ ᅢ ᄂ ᅩ ᄋ ᅳ ᄅ ᅡ ᄀ ᅩ
못살게	ᄆ ᅩ ᆮ ᄊ ᅡ ᆯ ᄀ ᅦ
굴자	ᄀ ᅮ ᆯ ᄌ ᅡ
황금의	ᄒ ᅪ ᆼ ᄀ ᅳ ᄆ ᅴ
옹달샘을	ᄋ ᅩ ᆼ ᄃ ᅡ ᆯ ᄉ ᅢ ᄆ ᅳ ᆯ
다녀온	ᄃ ᅡ ᄂ ᅧ ᄋ ᅩ ᆫ
산적은	ᄉ ᅡ ᆫ ᄌ ᅥ ᄀ ᅳ ᆫ
황금은	ᄒ ᅪ ᆼ ᄀ ᅳ ᄆ ᅳ ᆫ
구렁이만	ᄀ ᅮ ᄅ ᅥ ᆼ ᄋ ᅵ ᄆ ᅡ ᆫ
혀를	ᄒ ᅧ ᄅ ᅳ ᆯ
날름거리고	ᄂ ᅡ ᆯ ᄅ ᅳ ᆷ ᄀ ᅥ ᄅ ᅵ ᄀ ᅩ
다며	ᄃ ᅡ ᄆ ᅧ
화를	ᄒ ᅪ ᄅ ᅳ ᆯ
분명히	ᄇ ᅮ ᆫ ᄆ ᅧ ᆼ ᄒ ᅵ
황금이었어요	ᄒ ᅪ ᆼ ᄀ ᅳ ᄆ ᅵ ᄋ ᅥ ᄊ ᅥ ᄋ ᅭ
앉은뱅이와	ᄋ ᅡ ᆫ ᄌ ᅳ ᆫ ᄇ ᅢ ᆼ ᄋ ᅵ ᄋ ᅪ
부부는	ᄇ ᅮ ᄇ ᅮ ᄂ ᅳ ᆫ
도움주는	ᄃ ᅩ ᄋ ᅮ ᆷ ᄌ ᅮ ᄂ ᅳ ᆫ
보완재	ᄇ ᅩ ᄋ ᅪ ᆫ ᄌ ᅢ
한쪽만으론	ᄒ ᅡ ᆫ ᄍ ᅩ ᆼ ᄆ ᅡ ᄂ ᅳ ᄅ ᅩ ᆫ
못하지만	ᄆ ᅩ ᄐ ᅡ ᄌ ᅵ ᄆ ᅡ ᆫ
둘을	ᄃ ᅮ ᄅ ᅳ ᆯ
합	ᄒ ᅡ ᆸ
치면	ᄎ ᅵ ᄆ ᅧ ᆫ
둘은	ᄃ ᅮ ᄅ ᅳ ᆫ
대립의	ᄃ ᅢ ᄅ ᅵ ᄇ ᅴ
관계가	ᄀ ᅪ ᆫ ᄀ ᅨ ᄀ ᅡ
커피와	ᄏ ᅥ ᄑ ᅵ ᄋ ᅪ
보완재라고	ᄇ ᅩ ᄋ ᅪ ᆫ ᄌ ᅢ ᄅ ᅡ ᄀ ᅩ
터와	ᄐ ᅥ ᄋ ᅪ
펜과	ᄑ ᅦ ᆫ ᄀ ᅪ
잉크	ᄋ ᅵ ᆼ ᄏ ᅳ
골프공과	ᄀ ᅩ ᆯ ᄑ ᅳ ᄀ ᅩ ᆼ ᄀ ᅪ
골프채	ᄀ ᅩ ᆯ ᄑ ᅳ ᄎ ᅢ
바늘과	ᄇ ᅡ ᄂ ᅳ ᆯ ᄀ ᅪ
가지를	ᄀ ᅡ ᄌ ᅵ ᄅ ᅳ ᆯ
쓰기보다	ᄊ ᅳ ᄀ ᅵ ᄇ ᅩ ᄃ ᅡ
쳐	ᄎ ᅥ
사용할	ᄉ ᅡ ᄋ ᅭ ᆼ ᄒ ᅡ ᆯ
재화들이	ᄌ ᅢ ᄒ ᅪ ᄃ ᅳ ᄅ ᅵ
짝을	ᄍ ᅡ ᄀ ᅳ ᆯ
이루는	ᄋ ᅵ ᄅ ᅮ ᄂ ᅳ ᆫ
프림의	ᄑ ᅳ ᄅ ᅵ ᄆ ᅴ
감소한다	ᄀ ᅡ ᆷ ᄉ ᅩ ᄒ ᅡ ᆫ ᄃ ᅡ
용기라면에	ᄋ ᅭ ᆼ ᄀ ᅵ ᄅ ᅡ ᄆ ᅧ ᄂ ᅦ
끼워	ᄁ ᅵ ᄋ ᅯ
팔기	ᄑ ᅡ ᆯ ᄀ ᅵ
밀접한	ᄆ ᅵ ᆯ ᄌ ᅥ ᄑ ᅡ ᆫ
끼리는	ᄁ ᅵ ᄅ ᅵ ᄂ ᅳ ᆫ
떨어지지	ᄄ ᅥ ᄅ ᅥ ᄌ ᅵ ᄌ ᅵ
않	ᄋ ᅡ ᆫ
다는다는	ᄃ ᅡ ᄂ ᅳ ᆫ ᄃ ᅡ ᄂ ᅳ ᆫ
보안제를	ᄇ ᅩ ᄋ ᅡ ᆫ ᄌ ᅦ ᄅ ᅳ ᆯ
이용한	ᄋ ᅵ ᄋ ᅭ ᆼ ᄒ ᅡ ᆫ
팅	ᄐ ᅵ ᆼ
편다	ᄑ ᅧ ᆫ ᄃ ᅡ
인스턴트	ᄋ ᅵ ᆫ ᄉ ᅳ ᄐ ᅥ ᆫ ᄐ ᅳ
커피	ᄏ ᅥ ᄑ ᅵ
업	ᄋ ᅥ ᆸ
체들이	ᄎ ᅦ ᄃ ᅳ ᄅ ᅵ
머그잔을	ᄆ ᅥ ᄀ ᅳ ᄌ ᅡ ᄂ ᅳ ᆯ
덤으로	ᄃ ᅥ ᄆ ᅳ ᄅ ᅩ
공기밥을	ᄀ ᅩ ᆼ ᄀ ᅵ ᄇ ᅡ ᄇ ᅳ ᆯ
트한	ᄐ ᅳ ᄒ ᅡ ᆫ
삼겹살	ᄉ ᅡ ᆷ ᄀ ᅧ ᆸ ᄊ ᅡ ᆯ
원어치를	ᄋ ᅯ ᄂ ᅥ ᄎ ᅵ ᄅ ᅳ ᆯ
사면	ᄉ ᅡ ᄆ ᅧ ᆫ
소주	ᄉ ᅩ ᄌ ᅮ
병을	ᄇ ᅧ ᆼ ᄋ ᅳ ᆯ
주거나	ᄌ ᅮ ᄀ ᅥ ᄂ ᅡ
만두	ᄆ ᅡ ᆫ ᄃ ᅮ
봉지를	ᄇ ᅩ ᆼ ᄌ ᅵ ᄅ ᅳ ᆯ
간장을	ᄀ ᅡ ᆫ ᄌ ᅡ ᆼ ᄋ ᅳ ᆯ
하나씩	ᄒ ᅡ ᄂ ᅡ ᄊ ᅵ ᆨ
얹어주는	ᄋ ᅥ ᆫ ᄌ ᅥ ᄌ ᅮ ᄂ ᅳ ᆫ
사은품을	ᄉ ᅡ ᄋ ᅳ ᆫ ᄑ ᅮ ᄆ ᅳ ᆯ
보완재를	ᄇ ᅩ ᄋ ᅪ ᆫ ᄌ ᅢ ᄅ ᅳ ᆯ
손님은	ᄉ ᅩ ᆫ ᄂ ᅵ ᄆ ᅳ ᆫ
왕	ᄋ ᅪ ᆼ
주권	ᄌ ᅮ ᄀ ᅯ ᆫ
유난히	ᄋ ᅲ ᄂ ᅡ ᆫ ᄒ ᅵ
튼튼하고	ᄐ ᅳ ᆫ ᄐ ᅳ ᆫ ᄒ ᅡ ᄀ ᅩ
우람한	ᄋ ᅮ ᄅ ᅡ ᆷ ᄒ ᅡ ᆫ
참나무	ᄎ ᅡ ᆷ ᄂ ᅡ ᄆ ᅮ
그루가	ᄀ ᅳ ᄅ ᅮ ᄀ ᅡ
동물들은	ᄃ ᅩ ᆼ ᄆ ᅮ ᆯ ᄃ ᅳ ᄅ ᅳ ᆫ
사귀고	ᄉ ᅡ ᄀ ᅱ ᄀ ᅩ
거만했어요	ᄀ ᅥ ᄆ ᅡ ᆫ ᄒ ᅢ ᄊ ᅥ ᄋ ᅭ
나무를	ᄂ ᅡ ᄆ ᅮ ᄅ ᅳ ᆯ
버럭버럭	ᄇ ᅥ ᄅ ᅥ ᆨ ᄈ ᅥ ᄅ ᅥ ᆨ
참나무라고	ᄎ ᅡ ᆷ ᄂ ᅡ ᄆ ᅮ ᄅ ᅡ ᄀ ᅩ
불렀죠	ᄇ ᅮ ᆯ ᄅ ᅥ ᆮ ᄍ ᅭ
혼자서도	ᄒ ᅩ ᆫ ᄌ ᅡ ᄉ ᅥ ᄃ ᅩ
남과	ᄂ ᅡ ᆷ ᄀ ᅪ
함	ᄒ ᅡ ᆷ
뭐	ᄆ ᅯ
참나무는	ᄎ ᅡ ᆷ ᄂ ᅡ ᄆ ᅮ ᄂ ᅳ ᆫ
혼자였어요	ᄒ ᅩ ᆫ ᄌ ᅡ ᄋ ᅧ ᄊ ᅥ ᄋ ᅭ
세월이	ᄉ ᅦ ᄋ ᅯ ᄅ ᅵ
흐른	ᄒ ᅳ ᄅ ᅳ ᆫ
뒤	ᄃ ᅱ
참나무도	ᄎ ᅡ ᆷ ᄂ ᅡ ᄆ ᅮ ᄃ ᅩ
나이가	ᄂ ᅡ ᄋ ᅵ ᄀ ᅡ
이제는	ᄋ ᅵ ᄌ ᅦ ᄂ ᅳ ᆫ
찾아와주지	ᄎ ᅡ ᄌ ᅡ ᄋ ᅪ ᄌ ᅮ ᄌ ᅵ
않는구나	ᄋ ᅡ ᆫ ᄂ ᅳ ᆫ ᄀ ᅮ ᄂ ᅡ
즙을	ᄌ ᅳ ᄇ ᅳ ᆯ
않으련	ᄋ ᅡ ᄂ ᅳ ᄅ ᅧ ᆫ
지나가는	ᄌ ᅵ ᄂ ᅡ ᄀ ᅡ ᄂ ᅳ ᆫ
개미들에게	ᄀ ᅢ ᄆ ᅵ ᄃ ᅳ ᄅ ᅦ ᄀ ᅦ
걸었죠	ᄀ ᅥ ᄅ ᅥ ᆮ ᄍ ᅭ
기울이지	ᄀ ᅵ ᄋ ᅮ ᄅ ᅵ ᄌ ᅵ
불던	ᄇ ᅮ ᆯ ᄃ ᅥ ᆫ
장수하늘소	ᄌ ᅡ ᆼ ᄉ ᅮ ᄒ ᅡ ᄂ ᅳ ᆯ ᄉ ᅩ
참나무의	ᄎ ᅡ ᆷ ᄂ ᅡ ᄆ ᅮ ᄋ ᅴ
머리카락	ᄆ ᅥ ᄅ ᅵ ᄏ ᅡ ᄅ ᅡ ᆨ
장수하늘소는	ᄌ ᅡ ᆼ ᄉ ᅮ ᄒ ᅡ ᄂ ᅳ ᆯ ᄉ ᅩ ᄂ ᅳ ᆫ
온	ᄋ ᅩ ᆫ
다해	ᄃ ᅡ ᄒ ᅢ
낳고	ᄂ ᅡ ᄏ ᅩ
껍질	ᄁ ᅥ ᆸ ᄍ ᅵ ᆯ
천국에서	ᄎ ᅥ ᆫ ᄀ ᅮ ᄀ ᅦ ᄉ ᅥ
쉬거라	ᄉ ᅱ ᄀ ᅥ ᄅ ᅡ
새끼들은	ᄉ ᅢ ᄁ ᅵ ᄃ ᅳ ᄅ ᅳ ᆫ
돌보아	ᄃ ᅩ ᆯ ᄇ ᅩ ᄋ ᅡ
줄께	ᄌ ᅮ ᆯ ᄁ ᅦ
하늘소의	ᄒ ᅡ ᄂ ᅳ ᆯ ᄉ ᅩ ᄋ ᅴ
애벌레는	ᄋ ᅢ ᄇ ᅥ ᆯ ᄅ ᅦ ᄂ ᅳ ᆫ
갉아	ᄀ ᅡ ᆯ ᄀ ᅡ
커갔어요	ᄏ ᅥ ᄀ ᅡ ᄊ ᅥ ᄋ ᅭ
상처에서	ᄉ ᅡ ᆼ ᄎ ᅥ ᄋ ᅦ ᄉ ᅥ
나무진이	ᄂ ᅡ ᄆ ᅮ ᄌ ᅵ ᄂ ᅵ
흘러	ᄒ ᅳ ᆯ ᄅ ᅥ
향기가	ᄒ ᅣ ᆼ ᄀ ᅵ ᄀ ᅡ
숲에	ᄉ ᅮ ᄑ ᅦ
퍼졌답니다	ᄑ ᅥ ᄌ ᅥ ᆮ ᄄ ᅡ ᆷ ᄂ ᅵ ᄃ ᅡ
나무진을	ᄂ ᅡ ᄆ ᅮ ᄌ ᅵ ᄂ ᅳ ᆯ
먹어도	ᄆ ᅥ ᄀ ᅥ ᄃ ᅩ
조심스럽게	ᄌ ᅩ ᄉ ᅵ ᆷ ᄉ ᅳ ᄅ ᅥ ᆸ ᄁ ᅦ
